Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Sauternes 2016,2016,2999,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2016&price_id=17033282
Sauternes 1967,1967,10995,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1967&price_id=23992320
Sauternes 1998,1998,1395,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1998&price_id=152019
Sauternes 1995,1995,2995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1995&price_id=4626917
Sauternes 2005,2005,2750,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2005&price_id=6227860
Sauternes 2008,2008,2495,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2008&price_id=20561349
Sauternes 2006,2006,2495,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2006&price_id=23992315
Vigna Seré Veneto Passito Rosso 2004,2004,1199,4.6,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/dal-forno-romano-vigna-sere-veneto-passito-rosso/w/2424921?year=2004&price_id=6625919
Barsac (Premier Grand Cru Classé) 2015,2015,799.95,4.6,France,Dessert wine,84.8277,85,76.7038,https://www.vivino.com/DK/en/chateau-climens-barsac-premier-grand-cru-classe/w/16786?year=2015&price_id=24455284
Tokaji Aszú 5 Puttonyos 2010,2010,575,4.5,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/oremus-tokaji-aszu-5-puttonyos-tokaj/w/1913596?year=2010&price_id=23055664
Sauternes (Lur Saluces) 2011,2011,1054.95,4.5,France,Dessert wine,85,85,77.2005,https://www.vivino.com/DK/en/fargues-sauternes-lur-saluces/w/84178?year=2011&price_id=9365891
Ice Wine Riesling 2014,2014,669,4.5,United States,Dessert wine,0,0,0,https://www.vivino.com/DK/en/eroica-ice-wine-riesling/w/1230653?year=2014&price_id=12674679
Sauternes (Premier Grand Cru Classé) 2009,2009,495,4.4,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2009&price_id=18460390
Sauternes (Premier Grand Cru Classé) 2015,2015,399,4.4,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2015&price_id=15348682
Quarts de Chaume 2010,2010,469.95,4.4,France,Dessert wine,44.0707,47.2092,60.7717,https://www.vivino.com/DK/en/domaine-des-baumard-quarts-de-chaume/w/1126215?year=2010&price_id=23014633
Barsac (Premier Grand Cru Classé) 2011,2011,1199.95,4.4,France,Dessert wine,84.8277,85,76.7038,https://www.vivino.com/DK/en/chateau-climens-barsac-premier-grand-cru-classe/w/16786?year=2011&price_id=24455250
Aszú 6 puttonyos 2009,2009,550,4.4,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/hu-chateau-dereszla-aszu-6-puttonyos/w/1977525?year=2009&price_id=23501972
Vouvray Le Mont Moelleux Première Trie 2003,2003,549.95,4.4,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/huet-vouvray-le-mont-moelleux-premiere-trie/w/17536?year=2003&price_id=23014581
Sauternes (Crème de Tête) 1996,1996,1500,4.4,France,Dessert wine,82.3151,85,75.225,https://www.vivino.com/DK/en/fr-chateau-gilette-sauternes-creme-de-tete/w/1822247?year=1996&price_id=12430216
Recioto della Valpolicella Classico 2018,2018,199,4.4,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/lenotti-recioto-della-valpolicella-classico/w/1134854?year=2018&price_id=23501968
Sauternes (Premier Grand Cru Classé) 2010,2010,395,4.3,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2010&price_id=14574352
Sauternes (Premier Grand Cru Classé) 2007,2007,399,4.3,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2007&price_id=15348928
Tokaji Aszú 5 Puttonyos 2008,2008,399,4.3,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/hetszolo-tokaji-aszu-5-puttonyos/w/1182790?year=2008&price_id=23500374
Sauternes (Premier Grand Cru Classé) 2015,2015,819.95,4.3,France,Dessert wine,85,85,76.4648,https://www.vivino.com/DK/en/chateau-suduiraut-sauternes-premier-grand-cru-classe/w/1174845?year=2015&price_id=24396163
I Capitelli 2015,2015,239,4.3,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/roberto-anselmi-i-capitelli/w/91459?year=2015&price_id=9860187
Welschriesling Trockenbeerenauslese 2015,2015,225,4.3,Austria,Dessert wine,0,0,0,https://www.vivino.com/DK/en/esterhazy-welschriesling-trockenbeerenauslese-q037c/w/6475248?year=2015&price_id=18153389
Vendanges d'Autrefois Saussignac 2017,2017,100,4.3,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/les-vignerons-de-sigoules-vendanges-dautrefois-saussignac/w/1233356?year=2017&price_id=23961008
Vouvray Le Mont Moelleux 2017,2017,349.95,4.3,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/huet-vouvray-le-mont-moelleux/w/17538?year=2017&price_id=24455487
Sauternes (Premier Grand Cru Classé) 2006,2006,749,4.2,France,Dessert wine,85,85,76.4648,https://www.vivino.com/DK/en/chateau-suduiraut-sauternes-premier-grand-cru-classe/w/1174845?year=2006&price_id=8525973
Aszú 5 Puttonyos 2016,2016,299,4.2,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/hu-chateau-dereszla-aszu-5-puttonyos/w/1163076?year=2016&price_id=23501971
