Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Collezione '53 Old Vines Primitivo di Manduria 2015,2015,175,4.5,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/feudi-salentini-collezione-53-old-vines-primitivo-di-manduri/w/5254648?year=2015&price_id=24036627
Grand Cru Maipo 2017,2017,129.95,4.5,Chile,Red wine,82.6664,10.8852,42.5419,https://www.vivino.com/DK/en/caballo-loco-grand-cru-maipo/w/1244668?year=2017&price_id=23715679
Edizione Cinque Autoctoni 2020,2020,149,4.5,Italy,Red wine,69.7346,27.4738,31.8676,https://www.vivino.com/DK/en/farnese-edizione-cinque-autoctoni/w/21646?year=2020&price_id=24367275
Papale Linea Oro Primitivo di Manduria 2017,2017,149,4.4,Italy,Red wine,68.2935,44.6492,10.5798,https://www.vivino.com/DK/en/varvaglione-papale-linea-oro-primitivo-di-manduria/w/1202838?year=2017&price_id=23677397
Grand Cru Apalta 2017,2017,129.95,4.4,Chile,Red wine,81.4937,17.2757,44.5259,https://www.vivino.com/DK/en/caballo-loco-grand-cru-apalta/w/4837001?year=2017&price_id=23157900
Godina Garnacha 2018,2018,169,4.4,Spain,Red wine,84.533,22.227,43.4561,https://www.vivino.com/DK/en/morca-godina-garnacha/w/5056642?year=2018&price_id=23379164
Infiniment Rouge 2018,2018,159,4.4,France,Red wine,0,0,0,https://www.vivino.com/DK/en/chateau-de-lou-22586-infiniment-rouge/w/2545246?year=2018&price_id=24689489
Stilio Primitivo di Manduria 2019,2019,79.95,4.4,Italy,Red wine,69.6938,45.603,12.6976,https://www.vivino.com/DK/en/it-mottura-stilio-primitivo-di-manduria/w/4572535?year=2019&price_id=24694469
Roppolo Primitivo 2018,2018,139,4.4,Italy,Red wine,67.9546,33.3636,5.82576,https://www.vivino.com/DK/en/la-bollina-roppolo-primitivo-puglia-red-wine/w/9026453?year=2018&price_id=24856732
Haut-Médoc 2016,2016,200,4.4,France,Red wine,73.5922,3.23058,78.1335,https://www.vivino.com/DK/en/chateau-les-vimieres-haut-medoc/w/1218241?year=2016&price_id=24117632
