Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Sauvignon Blanc 2019,2019,180,4.2,New Zealand,White wine,32.3525,0.687333,79.1727,https://www.vivino.com/DK/en/cloudy-bay-sauvignon-blanc/w/18978?year=2019&price_id=23571734
Chardonnay 2017,2017,129.95,4.3,Argentina,White wine,58.2491,19.0465,39.4563,https://www.vivino.com/DK/en/el-enemigo-chardonnay/w/1272950?year=2017&price_id=23100934
Vintner's Reserve Chardonnay 2018,2018,149,3.9,United States,White wine,85,37.7082,45.3139,https://www.vivino.com/DK/en/kendall-jackson-vintner-s-reserve-chardonnay/w/2132?year=2018&price_id=23236735
Pinot Grigio Valdadige 2016,2016,135,3.8,Italy,White wine,41.2322,11.2066,42.0834,https://www.vivino.com/DK/en/santa-margherita-pinot-grigio-valdadige/w/1184502?year=2016&price_id=12221946
Villa Antinori Toscana Bianco 2019,2019,89,3.8,Italy,White wine,42.0515,22.016,65.0247,https://www.vivino.com/DK/en/antinori-tuscany-villa-antinori-toscana-bianco/w/59894?year=2019&price_id=24422150
Chardonnay 2019,2019,99,3.9,United States,White wine,0,0,0,https://www.vivino.com/DK/en/bread-and-butter-chardonnay/w/1755251?year=2019&price_id=24562746
Chardonnay 2018,2018,175,4.3,United States,White wine,85,27.6248,35.0606,https://www.vivino.com/DK/en/rombauer-vineyards-chardonnay/w/5602?year=2018&price_id=21715690
Costamolino Vermentino di Sardegna 2017,2017,119.95,3.8,Italy,White wine,60.5763,8.6499,36.5266,https://www.vivino.com/DK/en/argiolas-costamolino-vermentino-di-sardegna/w/82192?year=2017&price_id=18705691
Catarratto - Zibibbo 2019,2019,59,3.9,Italy,White wine,60.8455,21.4492,30.2941,https://www.vivino.com/DK/en/crudo-catarratto-zibibbo/w/4470850?year=2019&price_id=22573591
Sauvignon Blanc 2020,2020,249,4.2,New Zealand,White wine,32.3525,0.687333,79.1727,https://www.vivino.com/DK/en/cloudy-bay-sauvignon-blanc/w/18978?year=2020&price_id=24096248
Chardonnay 2016,2016,129.95,3.9,Argentina,White wine,54.4548,16.3038,38.037,https://www.vivino.com/DK/en/catena-mendoza-chardonnay/w/1876?year=2016&price_id=22681796
Gentil 2018,2018,125,3.8,France,White wine,0,0,0,https://www.vivino.com/DK/en/hugel-gentil/w/5106?year=2018&price_id=20446923
Chardonnay 2016,2016,179,3.8,Chile,White wine,64.7898,45.9246,12.5306,https://www.vivino.com/DK/en/montes-alpha-chardonnay/w/1244627?year=2016&price_id=16495289
Chardonnay 2018,2018,59.95,3.6,Argentina,White wine,52.6444,17.7864,39.9567,https://www.vivino.com/DK/en/alamos-chardonnay/w/69694?year=2018&price_id=22682085
Pouilly-Fuissé 2018,2018,309,4.2,France,White wine,41.7125,0.242318,41.7934,https://www.vivino.com/DK/en/louis-jadot-pouilly-fuisse/w/2991?year=2018&price_id=20585737
Chardonnay 2017,2017,129.95,3.9,Argentina,White wine,54.4548,16.3038,38.037,https://www.vivino.com/DK/en/catena-mendoza-chardonnay/w/1876?year=2017&price_id=23857868
Sauvignon Winkl 2019,2019,159.95,4.2,Italy,White wine,61.2455,20.9818,54.4802,https://www.vivino.com/DK/en/terlan-terlano-sauvignon-winkl/w/77671?year=2019&price_id=23036343
Chardonnay 2018,2018,169,3.8,United States,White wine,65.9112,16.0848,55.6813,https://www.vivino.com/DK/en/chateau-ste-michelle-chardonnay/w/1439?year=2018&price_id=24165422
Reserva Albariño 2019,2019,115,3.9,Uruguay,White wine,0,0,0,https://www.vivino.com/DK/en/bodega-garzon-reserva-albarino/w/1419263?year=2019&price_id=22682437
Chablis 2017,2017,150,3.8,France,White wine,42.2355,0.0001,68.0681,https://www.vivino.com/DK/en/william-fevre-chablis-chablis/w/12846?year=2017&price_id=24601458
Bourgogne 'Les Sétilles' 2018,2018,209,4.1,France,White wine,63.1659,1.81724,52.0221,https://www.vivino.com/DK/en/olivier-leflaive-bourgogne-les-setilles/w/11009?year=2018&price_id=23125551
Costamolino Vermentino di Sardegna 2019,2019,79,3.9,Italy,White wine,60.5763,8.6499,36.5266,https://www.vivino.com/DK/en/argiolas-costamolino-vermentino-di-sardegna/w/82192?year=2019&price_id=21367201
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2015,2015,315,4.1,France,White wine,63.3922,13.8279,42.7452,https://www.vivino.com/DK/en/chateau-carbonnieux-pessac-leognan-blanc-grand-cru-classe-de-graves/w/78014?year=2015&price_id=20009617
Lugana San Benedetto 2019,2019,145,4.1,Italy,White wine,59.0193,23.0913,50.2273,https://www.vivino.com/DK/en/zenato-lugana-san-benedetto/w/12378?year=2019&price_id=23643665
White Blend 2016,2016,199,3.7,United States,White wine,66.5488,36.9265,25.4851,https://www.vivino.com/DK/en/conundrum-wines-white-blend/w/15652?year=2016&price_id=24653073
La Segreta Il Bianco 2016,2016,125,3.6,Italy,White wine,59.3889,2.68759,38.2685,https://www.vivino.com/DK/en/planeta-la-segreta-il-bianco/w/4991?year=2016&price_id=10231298
Dry Riesling 2018,2018,109,3.7,United States,White wine,42.1314,7.23901,68.3588,https://www.vivino.com/DK/en/chateau-ste-michelle-dry-riesling/w/1451?year=2018&price_id=22754998
Mandolás Furmint 2017,2017,215,3.9,Hungary,White wine,0,0,0,https://www.vivino.com/DK/en/oremus-mandolas-furmint/w/1632873?year=2017&price_id=23049932
Falanghina 2018,2018,129,3.8,Italy,White wine,62.1804,2.06715,38.9759,https://www.vivino.com/DK/en/feudi-di-san-gregorio-falanghina/w/5093?year=2018&price_id=19760515
Lugana Vigneto Massoni 2018,2018,165,4.1,Italy,White wine,56.298,23.3137,48.8144,https://www.vivino.com/DK/en/it-s-cristina-lugana-vigneto-massoni/w/1127731?year=2018&price_id=23643666
Cuvée Terlaner (Classico) 2016,2016,149.95,3.9,Italy,White wine,60.6911,21.5655,52.366,https://www.vivino.com/DK/en/terlan-terlano-cuvee-terlaner-classico/w/1150328?year=2016&price_id=22684427
Arneis Langhe Blangé 2015,2015,159.95,3.8,Italy,White wine,56.7979,25.9852,51.6585,https://www.vivino.com/DK/en/ceretto-aziende-vitivinicole-srl-arneis-langhe-blange/w/7145?year=2015&price_id=24530551
Chardonnay 2018,2018,159,3.8,United States,White wine,85,37.5977,45.8239,https://www.vivino.com/DK/en/robert-mondavi-private-selection-chardonnay/w/4000?year=2018&price_id=23074227
Chardonnay 2016,2016,249.95,4.2,Argentina,White wine,55.5147,19.148,37.4556,https://www.vivino.com/DK/en/catena-alta-chardonnay/w/1872?year=2016&price_id=22960233
Chardonnay 2015,2015,249.95,4.2,Argentina,White wine,55.5147,19.148,37.4556,https://www.vivino.com/DK/en/catena-alta-chardonnay/w/1872?year=2015&price_id=23436267
Chardonnay 2013,2013,299.95,4.1,Argentina,White wine,55.5147,19.148,37.4556,https://www.vivino.com/DK/en/catena-alta-chardonnay/w/1872?year=2013&price_id=4322387
Te Koko Sauvignon Blanc 2014,2014,419,4.1,New Zealand,White wine,35.876,6.45713,77.9494,https://www.vivino.com/DK/en/cloudy-bay-te-koko-sauvignon-blanc/w/1126958?year=2014&price_id=24618261
KARIA Chardonnay 2017,2017,349,4.1,United States,White wine,84.8916,24.257,36.9654,https://www.vivino.com/DK/en/stag-s-leap-wine-cellars-karia-chardonnay/w/1107343?year=2017&price_id=19761570
Albariño 2016,2016,299,3.8,Spain,White wine,23.575,5.51102,66.9008,https://www.vivino.com/DK/en/pazo-barrantes-albarino/w/1183384?year=2016&price_id=12976196
Gessamí 2018,2018,159.95,4.1,Spain,White wine,0,0,0,https://www.vivino.com/DK/en/gramona-gessami/w/1781951?year=2018&price_id=22788435
Sauvignon Blanc 2018,2018,109.95,4.1,New Zealand,White wine,31.8766,1.59541,78.5216,https://www.vivino.com/DK/en/greywacke-kevin-judd-sauvignon-blanc/w/1128346?year=2018&price_id=24075434
Sauvignon Blanc 2019,2019,109.95,4.1,New Zealand,White wine,31.8766,1.59541,78.5216,https://www.vivino.com/DK/en/greywacke-kevin-judd-sauvignon-blanc/w/1128346?year=2019&price_id=24860321
Chardonnay Santa Barbara County 2018,2018,175,4.0,United States,White wine,85,36.0008,48.0576,https://www.vivino.com/DK/en/au-bon-climat-winery-chardonnay-santa-barbara-county/w/1367448?year=2018&price_id=22799310
Chardonnay 2017,2017,249.95,4.2,Argentina,White wine,55.5147,19.148,37.4556,https://www.vivino.com/DK/en/catena-alta-chardonnay/w/1872?year=2017&price_id=24039096
Grüner Veltliner Federspiel Terrassen 2019,2019,145,3.8,Austria,White wine,20.4415,1.0792,67.573,https://www.vivino.com/DK/en/domane-wachau-gruner-veltliner-federspiel-terrassen/w/21454?year=2019&price_id=21488047
Pouilly-Fuissé Tête de Cuvée 2018,2018,529.95,4.3,France,White wine,43.8655,6.26681,39.4558,https://www.vivino.com/DK/en/chateau-fuisse-pouilly-fuisse-tete-de-cuvee/w/1632923?year=2018&price_id=24473564
Chardonnay 2018,2018,249.95,4.1,Argentina,White wine,55.5147,19.148,37.4556,https://www.vivino.com/DK/en/catena-alta-chardonnay/w/1872?year=2018&price_id=24075430
Le G de Guiraud Bordeaux Blanc Sec 2017,2017,169.95,3.9,France,White wine,64.5779,14.6153,40.3643,https://www.vivino.com/DK/en/chateau-guiraud-le-g-de-guiraud-bordeaux-blanc-sec/w/1173607?year=2017&price_id=23014709
Sauvignon Blanc 2017,2017,89,3.7,United States,White wine,42.1189,0.578407,69.0891,https://www.vivino.com/DK/en/chateau-ste-michelle-sauvignon-blanc/w/1458?year=2017&price_id=19269499
Arneis Langhe Blangé 2019,2019,159.95,4.0,Italy,White wine,56.7979,25.9852,51.6585,https://www.vivino.com/DK/en/ceretto-aziende-vitivinicole-srl-arneis-langhe-blange/w/7145?year=2019&price_id=24465126
Albariño 2018,2018,165,3.8,Spain,White wine,23.575,5.51102,66.9008,https://www.vivino.com/DK/en/pazo-barrantes-albarino/w/1183384?year=2018&price_id=19806872
Gaba do Xil Godello 2018,2018,134.95,3.8,Spain,White wine,0,0,0,https://www.vivino.com/DK/en/telmo-rodriguez-gaba-do-xil-godello/w/63124?year=2018&price_id=22683644
Ardèche Chardonnay 2018,2018,96,3.6,France,White wine,54.1971,8.84417,35.9248,https://www.vivino.com/DK/en/louis-latour-ardeche-chardonnay/w/7246?year=2018&price_id=20861719
Condrieu 2016,2016,400,4.0,France,White wine,76.7964,19.6682,26.0871,https://www.vivino.com/DK/en/e-guigal-condrieu/w/7769?year=2016&price_id=16083019
Cometa 2018,2018,299,4.2,Italy,White wine,64.0165,9.83357,31.9598,https://www.vivino.com/DK/en/planeta-cometa/w/4985?year=2018&price_id=23163664
Riesling 2019,2019,119,3.8,United States,White wine,42.0355,22.0133,66.9093,https://www.vivino.com/DK/en/chateau-ste-michelle-riesling/w/1110344?year=2019&price_id=24715539
Pé Branco 2019,2019,69,3.6,Portugal,White wine,38.7803,14.8889,28.8571,https://www.vivino.com/DK/en/esporao-pe-branco/w/1695329?year=2019&price_id=22280028
Sauvignon Blanc Te Muna Road Vineyard 2019,2019,99.95,4.1,New Zealand,White wine,32.5655,0.982585,78.7422,https://www.vivino.com/DK/en/craggy-range-sauvignon-blanc-te-muna-road-vineyard/w/86969?year=2019&price_id=22685089
Solosole Vermentino 2017,2017,199,3.9,Italy,White wine,45.1252,21.9714,66.5467,https://www.vivino.com/DK/en/poggio-al-tesoro-solosole-vermentino/w/1449368?year=2017&price_id=17932933
Roero Arneis 2017,2017,219.95,3.9,Italy,White wine,61.8456,23.186,49.737,https://www.vivino.com/DK/en/bruno-giacosa-roero-arneis/w/1128604?year=2017&price_id=23045753
AVETA Sauvignon Blanc 2017,2017,229,4.1,United States,White wine,44.5944,0.13137,67.7732,https://www.vivino.com/DK/en/stag-s-leap-wine-cellars-aveta-sauvignon-blanc/w/3901549?year=2017&price_id=23756698
Chardonnay 2017,2017,179,3.8,Chile,White wine,64.7898,45.9246,12.5306,https://www.vivino.com/DK/en/montes-alpha-chardonnay/w/1244627?year=2017&price_id=19676345
Unoaked Chardonnay 2017,2017,84.95,3.7,Argentina,White wine,50.4073,12.1779,45.9563,https://www.vivino.com/DK/en/la-linda-unoaked-chardonnay/w/51894?year=2017&price_id=23045705
Chardonnay 2017,2017,90,3.6,New Zealand,White wine,53.8524,3.3917,58.5076,https://www.vivino.com/DK/en/oyster-bay-chardonnay/w/9528?year=2017&price_id=23006745
Gessamí 2019,2019,129.95,4.2,Spain,White wine,0,0,0,https://www.vivino.com/DK/en/gramona-gessami/w/1781951?year=2019&price_id=22788438
Chablis 'La Pierrelée' 2017,2017,119.95,3.8,France,White wine,41.676,0.06597,65.9609,https://www.vivino.com/DK/en/la-chablisienne-chablis-la-pierrelee/w/16608?year=2017&price_id=22681550
Silver Unoaked Chardonnay 2015,2015,199,3.8,United States,White wine,85,34.9328,51.0212,https://www.vivino.com/DK/en/mer-soleil-silver-unoaked-chardonnay/w/2015765?year=2015&price_id=21776941
Quarz Sauvignon 2015,2015,325,4.4,Italy,White wine,62.6677,24.2493,50.2827,https://www.vivino.com/DK/en/terlan-terlano-quarz-sauvignon/w/77676?year=2015&price_id=22684463
Lune d'Argent 2016,2016,159.95,3.7,France,White wine,63.4721,12.0315,42.0403,https://www.vivino.com/DK/en/clos-des-lunes-lune-d-argent/w/1671306?year=2016&price_id=23014748
Chenin Blanc (Free-Run Steen) 2018,2018,85,3.6,South Africa,White wine,31.0003,5.8869,78.8524,https://www.vivino.com/DK/en/man-vintners-chenin-blanc-free-run-steen/w/1694049?year=2018&price_id=19877382
Verdejo Rueda 2019,2019,119,4.0,Spain,White wine,22.821,22.8355,51.4403,https://www.vivino.com/DK/en/menade-verdejo-rueda/w/1160332?year=2019&price_id=22264176
AVETA Sauvignon Blanc 2016,2016,239,4.1,United States,White wine,44.5944,0.13137,67.7732,https://www.vivino.com/DK/en/stag-s-leap-wine-cellars-aveta-sauvignon-blanc/w/3901549?year=2016&price_id=16128328
Blanco Fermentado en Barrica 2018,2018,120,3.7,Spain,White wine,75.5376,11.9301,51.6683,https://www.vivino.com/DK/en/muga-blanco-fermentado-en-barrica/w/1287516?year=2018&price_id=21487890
Wild Sauvignon 2014,2014,199.95,4.2,New Zealand,White wine,35.3701,4.46225,76.1698,https://www.vivino.com/DK/en/greywacke-kevin-judd-wild-sauvignon/w/1756010?year=2014&price_id=9506971
Blindfold White Blend 2017,2017,339,4.0,United States,White wine,67.886,28.2907,26.098,https://www.vivino.com/DK/en/the-prisoner-blindfold-white-blend/w/1841294?year=2017&price_id=21632843
San Vincenzo 2019,2019,159,4.0,Italy,White wine,63.6877,26.6235,50.5554,https://www.vivino.com/DK/en/roberto-anselmi-san-vincenzo/w/91463?year=2019&price_id=24239257
Quintaluna 2016,2016,129.95,3.6,Spain,White wine,27.5372,23.3897,49.9457,https://www.vivino.com/DK/en/ossian-quintaluna/w/1169393?year=2016&price_id=16403708
Arneis Roero 2019,2019,189,3.9,Italy,White wine,61.4752,22.3991,53.9272,https://www.vivino.com/DK/en/vietti-arneis-roero/w/77438?year=2019&price_id=22656119
Joseph Gewürztraminer 2018,2018,169,4.1,Italy,White wine,64.9687,42.0492,28.9073,https://www.vivino.com/DK/en/j-hofstatter-joseph-gewurztraminer/w/2470268?year=2018&price_id=20827085
Pinot Grigio 2019,2019,75,3.9,Argentina,White wine,38.9791,17.0438,40.007,https://www.vivino.com/DK/en/callia-pinot-grigio/w/7729625?year=2019&price_id=23006691
Meursault 2015,2015,499,4.3,France,White wine,63.363,7.89306,48.0235,https://www.vivino.com/DK/en/louis-jadot-meursault/w/2923?year=2015&price_id=21594728
The Hermit Crab Viognier - Marsanne 2018,2018,125,3.8,Australia,White wine,0,0,0,https://www.vivino.com/DK/en/d-arenberg-the-hermit-crab-viognier-marsanne/w/13388?year=2018&price_id=24117396
