Adrianna Vineyard River Stones Malbec 2015,2015,795,4.8,410,Argentina
Cuesta de Las Liebres 2015,2015,1199.95,4.8,126,Spain
Poetry Cabernet Sauvignon 2016,2016,1795,4.8,32,United States
Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2015,2015,599.95,4.7,5610,Argentina
Malbec Argentino 2017,2017,625,4.7,4570,Argentina
Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2016,2016,599.95,4.7,3079,Argentina
Pauillac (Grand Cru Classé) 2009,2009,1995,4.7,2412,France
Valbuena 5º 2015,2015,995,4.7,1495,Spain
Special Selection Cabernet Sauvignon 2016,2016,1495,4.7,1333,United States
Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2016,2016,599.95,4.7,819,Argentina
Nicolás Catena Zapata 2017,2017,599.95,4.7,476,Argentina
Proprietary Red 2016,2016,1595,4.7,332,United States
Côte-Rôtie La Turque 2011,2011,2159.95,4.7,233,France
Prado Enea Gran Reserva 2014,2014,599,4.7,138,Spain
S.L.V. Cabernet Sauvignon 2017,2017,1430,4.7,89,United States
Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2014,2014,1799,4.7,51,United States
D.N.A 2014,2014,499,4.7,45,Italy
Bonsai 2014,2014,1500,4.7,38,Italy
Conteisa Langhe 2015,2015,1999,4.7,37,Italy
Volare del Camino Gualtallary 2017,2017,995,4.7,33,Argentina
La Mala Ribera del Duero 2012,2012,1200,4.7,32,Spain
Châteauneuf-du-Pape Amiral G 2017,2017,695,4.7,30,France
Rothwell Hyde Red 2015,2015,1595,4.7,26,United States
Cabernet Sauvignon 2016,2016,1245,4.6,13942,United States
Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2014,2014,599.95,4.6,2335,Argentina
Pauillac (Grand Cru Classé) 2010,2010,1895,4.6,2084,France
Flor de Pingus 2009,2009,1250,4.6,1475,Spain
Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2014,2014,599.95,4.6,1416,Argentina
Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2015,2015,450,4.6,1381,Argentina
Dominus (Christian Moueix) 2012,2012,2295,4.6,1049,United States
Tenuta Nuova Brunello di Montalcino 2015,2015,699,4.6,749,Italy
Dominus (Christian Moueix) 2014,2014,1995,4.6,707,United States
Chryseia Douro 2017,2017,579,4.6,632,Portugal
Clos Apalta 2016,2016,1149.95,4.6,598,Chile
Gran Enemigo Single Vineyard El Cepillo Cabernet Franc 2016,2016,599.95,4.6,558,Argentina
Gran Enemigo 2016,2016,499.95,4.6,547,Argentina
Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2016,2016,599.95,4.6,540,Argentina
Martha's Vineyard Cabernet Sauvignon 2004,2004,2250,4.6,487,United States
Malleolus de Sanchomartin 2010,2010,1099.95,4.6,453,Spain
Martha's Vineyard Cabernet Sauvignon 2005,2005,2250,4.6,438,United States
Malleolus de Valderramiro 2015,2015,799.95,4.6,436,Spain
Barolo Riserva 1982,1982,1795,4.6,408,Italy
Martha's Vineyard Cabernet Sauvignon 2006,2006,1499,4.6,382,United States
Nico Malbec 2014,2014,595,4.6,373,Argentina
Flor de Pingus 2018,2018,715,4.6,352,Spain
Adrianna Vineyard River Stones Malbec 2016,2016,1495,4.6,346,Argentina
1694 Classification Red 2015,2015,899.95,4.6,345,South Africa
El Titán del Bendito 2015,2015,449,4.6,338,Spain
Cabernet Sauvignon 2016,2016,1995,4.6,300,United States
Cirsion Rioja 2011,2011,1674.95,4.6,292,Spain
De Bvris Amarone della Valpolicella Classico Riserva 2008,2008,1599,4.6,258,Italy
Clos Apalta 2017,2017,1199.95,4.6,258,Chile
Côte-Rôtie La Turque 2004,2004,1995,4.6,255,France
Cirsion Rioja 2015,2015,1495,4.6,232,Spain
Saint-Julien (Grand Cru Classé) 2015,2015,1899.95,4.6,232,France
Hillside Select Cabernet Sauvignon 2015,2015,2195,4.6,231,United States
Saint-Julien (Grand Cru Classé) 2015,2015,2299.95,4.6,227,France
Dedicato a Walter Bolgheri Superiore 2015,2015,1299,4.6,204,Italy
Adrianna Vineyard Fortuna Terrae Malbec 2016,2016,625,4.6,201,Argentina
FAY Cabernet Sauvignon 2017,2017,999,4.6,198,United States
Taita Marchigüe Vineyard Cabernet Sauvignon 2011,2011,1599,4.6,197,Chile
Toscana Rosso 2012,2012,1100,4.6,150,Italy
Côte-Rôtie La Turque 2000,2000,2195,4.6,142,France
Fracture 2017,2017,799,4.6,142,United States
Côte-Rôtie La Landonne 2000,2000,1895,4.6,126,France
Amarone della Valpolicella 2013,2013,649,4.6,119,Italy
Son Negre 2011,2011,1499.95,4.6,106,Spain
Côte-Rôtie La Turque 2013,2013,2250,4.6,103,France
Red 2018,2018,695,4.6,92,South Africa
Toscana Rosso 2016,2016,1075,4.6,86,Italy
Mocenni Particella 91 2015,2015,299,4.6,84,Italy
Cambium 2014,2014,1295,4.6,80,United States
Priorat 2018,2018,695,4.6,76,Spain
Cuesta de las Musas Tinta de Toro 2014,2014,1499.95,4.6,75,Spain
Amarone della Valpolicella Classico Riserva (Sergio Zenato) 2015,2015,775,4.6,70,Italy
