Grande Cuvée Brut Champagne N.V.,9999,1399,4.6,20289,France
Brut Champagne 2010,2010,1299,4.6,4345,France
Cristal Brut Champagne (Millésimé) 2008,2008,1999,4.6,3689,France
Brut Rosé Champagne N.V.,9999,1995,4.6,2777,France
Brut Champagne 2004,2004,1995,4.6,2171,France
Brut Rosé Champagne 2006,2006,2095,4.6,1836,France
La Grande Année Brut Champagne 2008,2008,1195,4.6,1728,France
'Giulio Ferrari' Riserva del Fondatore 2007,2007,899.95,4.6,1627,Italy
R.D Extra Brut Champagne (Récemment Dégorgé) 2004,2004,1395,4.6,1014,France
Cuvée Annamaria Clementi (Extra Brut) 2010,2010,999,4.6,572,Italy
Cuvée des Archives Millesime Brut Champagne 2002,2002,1450,4.6,164,France
Turó d’en Mota 2006,2006,995,4.6,110,Spain
Amour de Deutz Millesimé Rosé Brut Champagne 2008,2008,1795,4.6,82,France
Cava Enoteca Finca La Plana Brut Nature 2001,2001,1295,4.6,57,Spain
Cava Celler Batlle 2010,2010,595,4.6,53,Spain
Cava Enoteca Finca de L'Origen Brut Nature 2001,2001,1195,4.6,46,Spain
Reserva Particular de Recaredo Brut Nature 2008,2008,595,4.6,43,Spain
MV N.V.,9999,2299,4.5,3425,France
La Grande Année Brut Champagne 2012,2012,825,4.5,1323,France
Cuvée Nicolas François Billecart Brut Champagne 2002,2002,1299.95,4.5,1033,France
Amour de Deutz Millésime Brut Champagne 2008,2008,1499,4.5,723,France
Cuvée Nicolas François Billecart Brut Champagne 2006,2006,995,4.5,684,France
James Bond 007 Brut Champagne 2009,2009,1695,4.5,672,France
La Grande Année Rosé Brut Champagne 2004,2004,1250,4.5,645,France
Belle Epoque Rosé Brut Champagne 2006,2006,1977,4.5,493,France
James Bond 007 Brut Champagne 2011,2011,1695,4.5,360,France
Cuvée Elisabeth Salmon Brut Rosé Champagne 2007,2007,1495,4.5,263,France
Turó d’en Mota 2005,2005,1195,4.5,147,Spain
Extra Brut Vintage Champagne 2008,2008,549,4.5,99,France
Turó d’en Mota 2004,2004,995,4.5,92,Spain
Cristal Brut Champagne (Millésimé) 2013,2013,1375,4.5,81,France
'Giulio Ferrari' Riserva del Fondatore Rosé 2007,2007,1695,4.5,65,Italy
René Lalou Champagne 2002,2002,1249,4.5,55,France
Le Clos des Trois Clochers Brut Zéro Champagne 2014,2014,1599,4.5,37,France
Champ Cain Brut Champagne Grand Cru 'Avize' 2009,2009,1700,4.5,32,France
R.D Extra Brut Champagne (Récemment Dégorgé) 2007,2007,1295,4.5,30,France
Blanc de Blancs Millésimé Brut Champagne Grand Cru 'Chouilly' 2012,2012,399,4.5,29,France
Cava Enoteca Finca de L'Origen Brut Nature 2002,2002,1495,4.5,27,Spain
Blanc de Blancs Brut Champagne N.V.,9999,549,4.4,26858,France
Brut Rosé Champagne N.V.,9999,489.95,4.4,17452,France
Brut Champagne (Gold) N.V.,9999,1795,4.4,2810,France
Saint-Vincent Champagne 2008,2008,848,4.4,562,France
Blanc de Blancs Brut Champagne (Vintage) 2013,2013,650,4.4,325,France
Cuvée Elisabeth Salmon Brut Rosé Champagne 2008,2008,1199.95,4.4,307,France
Assemblage Brut Champagne 2009,2009,748,4.4,267,France
Palmes d'Or Vintage Brut Champagne 1998,1998,2299,4.4,214,France
Hommage Au Pinot Noir Aÿ Champagne N.V.,9999,699,4.4,211,France
Cuvée William Deutz Millesimé Brut Champagne 2008,2008,1095,4.4,185,France
Grande Sendrée Champagne Brut 2010,2010,659.95,4.4,172,France
N.P.U Brut Champagne (Nec Plus Ultra) 2004,2004,1748,4.4,113,France
Turó d’en Mota 2003,2003,1095,4.4,92,Spain
Belle Epoque Brut Champagne 2013,2013,995,4.4,79,France
Dosage Zero Champagne 2006,2006,549,4.4,63,France
Grande Sendrée Brut Rosé Champagne 2010,2010,699.95,4.4,48,France
Bolle di Borro Metodo Classico Brut Rosé 2013,2013,499,4.4,35,Italy
Brut (Carte Jaune) Champagne N.V.,9999,350,4.3,103806,France
Brut (R de Ruinart) Champagne N.V.,9999,469,4.3,17813,France
Brut Rosé Champagne N.V.,9999,449,4.3,17278,France
Brut Rosé Champagne N.V.,9999,495,4.3,15319,France
Corte dei Rovi Prosecco N.V.,9999,89,4.3,5648,Italy
Blanc de Blancs Brut Champagne Grand Cru N.V.,9999,489.95,4.3,3991,France
Grand Vintage Brut Champagne 2012,2012,495,4.3,2814,France
Brut Sous Bois Champagne N.V.,9999,459.95,4.3,2504,France
Nectar Impérial (Demi-Sec) Rosé Champagne N.V.,9999,439,4.3,1763,France
Grand Vintage Brut Champagne 2002,2002,799,4.3,1546,France
Vintage Brut Champagne 2012,2012,495,4.3,1046,France
Palmes d'Or Vintage Brut Champagne 2006,2006,849,4.3,1005,France
Millesimé Brut Champagne 2008,2008,600,4.3,844,France
Riserva Lunelli 2008,2008,395,4.3,794,Italy
Vintage Champagne 2008,2008,649,4.3,713,France
Clos du Moulin Brut Champagne Premier Cru N.V.,9999,999.95,4.3,643,France
Rosé Brut Champagne (Vintage) 2014,2014,495,4.3,575,France
Blanc de Blancs Champagne (Extra Cuvée de Réserve) 2012,2012,650,4.3,572,France
Brut Champagne (Vintage) 2013,2013,595,4.3,499,France
Perlé Nero Riserva 2008,2008,450,4.3,310,Italy
