Name,Year,Price,Rating,Country,Winetype,Bold,Sweet,Acidity
Côtes de Provence Rosé,2019,195,3.9,France,Rosé wine,29.5327,0.24085,66.1146
By.Ott Rosé,2019,169,3.9,France,Rosé wine,28.8768,0.394875,66.0116
Prestige Rosé,2018,169,3.9,France,Rosé wine,39.6137,3.13283,53.502
Tenuta Guado al Tasso Scalabrone Bolgheri Rosato,2018,149,4.0,Italy,Rosé wine,0,0,0
Rosé,2017,99.95,3.9,France,Rosé wine,29.051,0.884355,66.0633
Whispering Angel Rosé,2020,159,4.2,France,Rosé wine,29.6539,0.0001,66.4625
Rosé,2019,99.95,3.8,France,Rosé wine,29.051,0.884355,66.0633
Il Rosé di Casanova,2019,159,3.9,Italy,Rosé wine,0,0,0
Miraflors Rosé,2018,99.95,3.9,France,Rosé wine,38.8896,0.017625,57.7842
Band of Roses Rosé,2018,140,3.6,United States,Rosé wine,0,0,0
Côte des Roses Rosé,2020,129,4.1,France,Rosé wine,40.5793,1.46532,57.3303
Rosé,2018,89,3.6,United States,Rosé wine,0,0,0
Rosé,2019,169,3.8,France,Rosé wine,39.5026,0.0001,57.5403
Sicilia Rosé,2018,129,3.7,Italy,Rosé wine,0,0,0
Studio,2019,120,3.6,France,Rosé wine,28.1821,0.40505,65.3972
Merlot Rosé (Unico),2019,119,4.0,Italy,Rosé wine,0,0,0
Rosé,2019,148,3.8,France,Rosé wine,38.9288,0.608992,58.2035
Côtes de Provence Rosé,2018,129,3.8,France,Rosé wine,28.5736,1.09494,62.805
Bandol Rosé,2019,199.95,4.4,France,Rosé wine,36.4873,5.21604,65.6912
Inspiration Rosé,2019,139.95,3.9,France,Rosé wine,30.5231,2.99711,65.9211
Belleruche Côtes du Rhône Rosé,2019,99,3.6,France,Rosé wine,54.0084,11.2018,49.8411
Château Romassan Rosé (Coeur de Grain),2019,299,4.2,France,Rosé wine,32.2477,0.0001,65.6808
Bardolino Chiaretto,2019,69,3.8,Italy,Rosé wine,0,0,0
La Moussière Sancerre Rosé,2018,199.95,4.1,France,Rosé wine,0,0,0
Rosé,2018,199,4.0,United States,Rosé wine,0,0,0
Kadette Pinotage Rosé,2018,129,3.4,South Africa,Rosé wine,0,0,0
Rosado,2019,89,3.7,Spain,Rosé wine,0,0,0
Bardolino Chiaretto Classico,2019,99,3.8,Italy,Rosé wine,0,0,0
Sancerre Les Baronnes Rosé,2019,208,3.8,France,Rosé wine,0,0,0
Rosé,2019,89,3.8,United States,Rosé wine,0,0,0
Pétale de Rosé,2019,149.95,3.7,France,Rosé wine,29.8911,2.86514,64.3831
Tavel,2019,150,3.8,France,Rosé wine,56.8578,13.073,47.7446
Bardolino Chiaretto,2019,85,3.5,Italy,Rosé wine,0,0,0
Flor de Muga Rosado,2019,224,4.1,Spain,Rosé wine,0,0,0
Vieilles Vignes Rosé,2019,109,3.9,France,Rosé wine,0,0,0
Rosé,2019,79,3.8,France,Rosé wine,0,0,0
Rosé La Chevalière,2019,99,3.6,France,Rosé wine,33.4078,1.15589,60.6487
Rosé,2020,169,3.8,France,Rosé wine,39.5026,0.0001,57.5403
Hito Rosado,2019,100,3.7,Spain,Rosé wine,0,0,0
Malbec Rosé,2019,69.95,3.7,Argentina,Rosé wine,0,0,0
Rosé,2019,65,3.8,Spain,Rosé wine,0,0,0
RosesRoses,2019,99.83,3.9,Italy,Rosé wine,0,0,0
Romance Rosé,2020,109.95,4.1,France,Rosé wine,27.776,5.55764,63.9234
By.Ott Rosé,2020,199,4.2,France,Rosé wine,28.8768,0.394875,66.0116
Organic Rosé,2018,99,3.5,France,Rosé wine,0,0,0
Pinot Grigio Rosé,2019,79.17,3.9,Italy,Rosé wine,0,0,0
Punto Final Malbec Rosé,2017,50,3.9,Argentina,Rosé wine,0,0,0
Pinot Noir Rosé,2020,99,3.9,Germany,Rosé wine,0,0,0
Exquise Prestige Rosé,2019,84,3.9,France,Rosé wine,39.3426,10.1534,56.501
Love Drunk Rosé,2018,189.50,4.0,United States,Rosé wine,0,0,0
Bordeaux Rosé,2019,129,3.8,France,Rosé wine,0,0,0
Conca de Barberà Trepat Rosat,2017,139,3.6,Spain,Rosé wine,0,0,0
Pinot Noir Petit Bourgeois Rosé,2019,139,3.8,France,Rosé wine,0,0,0
Mart Xarel-lo Vermell,2019,129.95,4.1,Spain,Rosé wine,0,0,0
Coteaux d'Aix-en-Provence Rosé,2019,249,3.8,France,Rosé wine,32.3105,0.915255,68.0996
Rosé del Borro,2017,136,3.7,Italy,Rosé wine,0,0,0
Inspiration Rosé,2020,129.95,3.7,France,Rosé wine,30.5231,2.99711,65.9211
Malbec Rosé,2019,115,3.9,Argentina,Rosé wine,0,0,0
White Zinfandel,2018,58,3.6,United States,Rosé wine,0,0,0
Gigondas Au Petit Bonheur,2015,144.95,4.0,France,Rosé wine,52.5194,14.2182,44.6894
Rioja Larrosa,2019,110,3.7,Spain,Rosé wine,0,0,0
Château de Berne Rosé,2018,209.95,3.9,France,Rosé wine,32.2581,0.0001,65.9022
Le Versant Grenache Rosé,2019,79.75,3.7,France,Rosé wine,42.4833,0.0001,58.452
El Picoteo Rosado,2019,69,3.6,Spain,Rosé wine,0,0,0
Belle Naturelle Rosé,2018,199,3.7,Austria,Rosé wine,0,0,0
Pink Pégau,2019,99,3.7,France,Rosé wine,0,0,0
Paradis Rosé,2020,79,4.0,France,Rosé wine,39.2305,1.02372,58.0587
Gigondas Au Petit Bonheur,2016,144.95,3.8,France,Rosé wine,52.5194,14.2182,44.6894
Bardolino Chiaretto Rosé,2019,63.33,3.1,Italy,Rosé wine,0,0,0
Rosé,2020,69,3.8,France,Rosé wine,38.6005,0.0001,57.1949
Rosado,2020,120,3.9,Spain,Rosé wine,0,0,0
Pinot Noir Rosé,2020,89,3.9,New Zealand,Rosé wine,0,0,0
Terre des Anges Rosé,2019,149,4.1,France,Rosé wine,30.8179,1.72861,68.4358
Château de Berne Rosé,2019,209.95,4.1,France,Rosé wine,32.2581,0.0001,65.9022
Finca El Bosque Rosado de Lágrima,2019,110,3.4,Spain,Rosé wine,0,0,0
Belle Année Rosé,2019,59,3.7,France,Rosé wine,0,0,0
Rosé,2017,69,3.1,South Africa,Rosé wine,0,0,0
Vallée du Paradis Rosé,2019,149,4.1,France,Rosé wine,38.5236,0.0001,56
Fossa Granara Bardolino Chiaretto,2019,109,3.9,Italy,Rosé wine,0,0,0
Brume Rosé,2019,92.50,3.6,France,Rosé wine,0,0,0
Mart Xarel-lo Vermell,2020,129.95,4.1,Spain,Rosé wine,0,0,0
Collection du Chateau Coteaux d’Aix en Provence Rose,2019,235,4.1,France,Rosé wine,31.4692,0.0001,65.8827
Tempranillo Rosé,2019,69.75,3.7,Spain,Rosé wine,0,0,0
Côtes-du-Rhône Rosé,2019,99.95,3.7,France,Rosé wine,52.9463,11.6792,48.2784
Clamor Rosado,2019,89,3.5,Spain,Rosé wine,0,0,0
Chavignol Sancerre Rosé,2016,240,4.1,France,Rosé wine,0,0,0
Rosé,2019,219.95,4.2,France,Rosé wine,31.7223,0.0001,64.7154
The Palm Whispering Angel Rosé,2020,175,3.9,France,Rosé wine,30.3707,2.06949,65.9065
Etoile Provence Rosé,2020,199,4.2,France,Rosé wine,28.1376,1.1273,62.6953
Côtes de Provence Rosé,2019,199.95,3.8,France,Rosé wine,36.3037,0.0001,68.7349
Cuvée Presqu'île Rosé,2018,125,3.3,France,Rosé wine,0,0,0
Côtes de Provence Rosé,2018,225,3.6,France,Rosé wine,33.3039,1.42785,64.8394
Loubié Côtes-du-Rhône-Villages 'Seguret' Rosé,2019,100,3.8,France,Rosé wine,55.4324,6.83228,49.5899
Guilhem Rosé,2019,85,3.5,France,Rosé wine,42.4096,0.31009,58.8138
Tramari Rosé di Primitivo,2020,99,4.1,Italy,Rosé wine,0,0,0
Nero d'Avola Rosato,2018,80.83,3.8,Italy,Rosé wine,0,0,0
Brise Marine Rosé,2020,59.95,3.8,France,Rosé wine,29.1549,0.72407,60.2008
Friponne Rosé,2019,109.95,3.5,France,Rosé wine,0,0,0
Rosé,2015,49.95,3.3,Italy,Rosé wine,0,0,0
Spätburgunder Rosé (Blanc de Noir Spätburgunder),2019,96.75,4.0,Germany,Rosé wine,0,0,0
Rioja Rose,2018,139,3.9,Spain,Rosé wine,0,0,0
Chavignol Sancerre Rosé,2017,240,3.9,France,Rosé wine,0,0,0
Corazón Loco Rosado,2018,55,3.0,Spain,Rosé wine,0,0,0
UP Rosé,2020,159.95,4.2,France,Rosé wine,29.879,0.0001,65.864
Musso de Casa Rojo Garnacha,2016,99,3.4,Spain,Rosé wine,0,0,0
Bardolino Chiaretto,2020,119,3.4,Italy,Rosé wine,0,0,0
Signature Rosé,2018,195,3.6,France,Rosé wine,30.088,0.0001,59.5775
Vigorosa Etna Rosato,2018,175,3.6,Italy,Rosé wine,0,0,0
Harmonie De Gascogne Rosé,2020,69,4.0,France,Rosé wine,0,0,0
Rosé,2019,71.67,3.0,South Africa,Rosé wine,0,0,0
Barbazul Rosado,2012,60,3.5,Spain,Rosé wine,0,0,0
Les Clans Rosé,2019,509,4.6,France,Rosé wine,32.6465,9.67632,61.9278
Bardolino Chiaretto Classico,2020,99,3.8,Italy,Rosé wine,0,0,0
La Flor Malbec Rosé,2019,129,3.7,Argentina,Rosé wine,0,0,0
Nero d'Avola Rosato,2019,80.83,3.7,Italy,Rosé wine,0,0,0
Conca de Barberà Trepat Rosat,2019,149,3.6,Spain,Rosé wine,0,0,0
Florence Pinotage Rosé,2020,119,3.7,South Africa,Rosé wine,0,0,0
Luberon Rosé,2019,93.33,3.4,France,Rosé wine,47.4868,14.6579,52.7409
Oeil de Perdrix Pinot Noir Blanc Rosé,2020,159,4.2,United States,Rosé wine,0,0,0
Côtes-du-Rhône Rosé,2020,89.95,3.8,France,Rosé wine,52.9463,11.6792,48.2784
Loren Syrah,2017,129,3.9,Italy,Rosé wine,0,0,0
Astérides Rosé,2019,109,3.5,France,Rosé wine,37.7151,0.0001,56.1263
Il Rosé di Casanova,2020,159,4.1,Italy,Rosé wine,0,0,0
