Bâtard-Montrachet Grand Cru 2015,2015,1995,4.7,46,France
Adrianna Vineyard White Bones Chardonnay 2018,2018,799.95,4.6,57,Argentina
Meursault 1er Cru Les Genevrières 2011,2011,1095,4.6,51,France
Bâtard-Montrachet Grand Cru 2013,2013,1499.95,4.6,50,France
Kirchenstück G.C 2011,2011,1195,4.6,42,Germany
Meursault Santenots 1er Cru 2017,2017,895,4.6,39,France
Meursault 1er Cru 'Les Perrières' 2013,2013,995,4.6,34,France
Pinot Gris Alsace Clos Jebsal Sélection De Grains Nobles Trie Spéciale 2010,2010,1700,4.6,27,France
Quarz Sauvignon 2018,2018,309.95,4.5,489,Italy
Guerriero del Mare 2018,2018,249,4.5,414,Italy
Adrianna Vineyard White Stones Chardonnay 2016,2016,550,4.5,279,Argentina
Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2015,2015,795,4.5,218,France
Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2014,2014,795,4.5,208,France
Puligny-Montrachet 2018,2018,475,4.5,105,France
Chardonnay 2018,2018,595,4.5,106,United States
Sigrid Chardonnay 2016,2016,639,4.5,99,United States
Meursault 2018,2018,539,4.5,93,France
Rebel Rebel Reserve Chardonnay 2015,2015,569.95,4.5,92,United States
Leeu Passant Chardonnay 2017,2017,495,4.5,76,South Africa
Meursault 1er Cru Les Charmes 2013,2013,695,4.5,75,France
Wachstum Bodenstein Grüner Veltliner 2016,2016,395,4.5,72,Austria
Grande Cuvée I Terlaner 2013,2013,1395,4.5,70,Italy
Corton-Charlemagne Grand Cru 2012,2012,1495,4.5,67,France
Pavillon Blanc du Château Margaux 2017,2017,2299.95,4.5,65,France
Meursault 1er Cru Les Charmes 2016,2016,895,4.5,65,France
Meursault 'Les Grands Charrons' 2018,2018,499.95,4.5,64,France
Corton-Charlemagne Grand Cru 2017,2017,2250,4.5,56,France
Corton-Charlemagne Grand Cru 2016,2016,1595,4.5,52,France
Saint Albert Barrique D'Or Pacherenc du Vic Bilh 2016,2016,225,4.5,48,France
Rarity Pinot Bianco 2005,2005,895,4.5,40,Italy
Seven Flags Chardonnay 2018,2018,329,4.5,35,South Africa
The Dark Side of the Vine Sémillon 2016,2016,350,4.5,34,South Africa
Chablis Grand Cru Vaudésir 2016,2016,850,4.5,30,France
Grande Cuvée I Terlaner 2015,2015,1395,4.5,27,Italy
Les Menétrieres Pouilly-Fuissé (Cuvée Hors-Classe) 2018,2018,559,4.5,27,France
Quarz Sauvignon 2015,2015,325,4.4,897,Italy
Quarz Sauvignon 2016,2016,325,4.4,789,Italy
Quarz Sauvignon 2017,2017,325,4.4,697,Italy
Blas Muñoz Chardonnay 2019,2019,109,4.4,411,Spain
Napa Valley Chardonnay 2014,2014,1995,4.4,345,United States
Puligny-Montrachet 2018,2018,1395,4.4,321,France
Adrianna Vineyard White Bones Chardonnay 2014,2014,650,4.4,284,Argentina
Nine Yards Chardonnay 2017,2017,319.95,4.4,244,South Africa
Adrianna Vineyard White Bones Chardonnay 2016,2016,650,4.4,222,Argentina
Capitel 2015,2015,454.95,4.4,197,Spain
Adrianna Vineyard White Stones Chardonnay 2017,2017,550,4.4,197,Argentina
Gewürztraminer Lunare 2017,2017,350,4.4,186,Italy
Puligny-Montrachet 1er Cru 'Clos de La Mouchère' (Monopole) 2015,2015,995,4.4,183,France
Clos des Capucins Cuvée Sainte Catherine Riesling Alsace Grand Cru Schlossberg 2016,2016,450,4.4,181,France
Palladius 2017,2017,719,4.4,180,South Africa
Bien Nacido Vineyard Chardonnay 2016,2016,359,4.4,161,United States
Puligny-Montrachet 1er Cru 'Clos de La Mouchère' (Monopole) 2016,2016,1095,4.4,158,France
Adrianna Vineyard White Bones Chardonnay 2017,2017,650,4.4,152,Argentina
Puligny-Montrachet 1er Cru 'Clos de La Mouchère' (Monopole) 2017,2017,1295,4.4,151,France
Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2016,2016,895,4.4,143,France
Puligny-Montrachet 1er Cru 'Clos de La Mouchère' (Monopole) 2012,2012,995,4.4,143,France
Chablis Grand Cru Bougros 2015,2015,600,4.4,141,France
Le Domaine Blanco de Guarda 2019,2019,299.95,4.4,136,Spain
Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2010,2010,695,4.4,124,France
Meursault Les Clous 2018,2018,525,4.4,109,France
Chardonnay 2019,2019,650,4.4,106,Argentina
Chardonnay 2018,2018,1195,4.4,104,United States
Gewürztraminer Lunare 2018,2018,350,4.4,103,Italy
Chardonnay 2019,2019,405,4.4,98,Australia
Chassagne-Montrachet 2018,2018,509.95,4.4,90,France
Leeu Passant Chardonnay 2016,2016,495,4.4,84,South Africa
Sancerre Blanc Grande Cuvée 2018,2018,299,4.4,81,France
Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2017,2017,950,4.4,79,France
Meursault Santenots 1er Cru 2015,2015,899.95,4.4,74,France
Puligny-Montrachet 1er Cru 'Clos de La Mouchère' (Monopole) 2018,2018,1195,4.4,73,France
Andrius Sauvignon Blanc 2018,2018,249.95,4.4,73,Italy
Clos de Beauvenir Châteauneuf-du-Pape 2013,2013,695,4.4,72,France
Magis Châteauneuf-du-Pape 2017,2017,799,4.4,70,France
Meursault 1er Cru Les Genevrières 2013,2013,795,4.4,68,France
Magnetic North Mountain Makstok 2017,2017,599,4.4,65,South Africa
